"word","[]"
"آب آوردن","[]"
"آب انداختن","[]"
"آب بدن","[]"
"آب بدهین","[]"
"آب بریزن","[]"
"آب بندن","[]"
"آب بین","[]"
"آب بینین","[]"
"آب خواهد شدن","[]"
"آب خوردن","[هزينه‌برداشتن]"
"آب دادن","[]"
"آب دارن","[]"
"آب داشتن","[صرفيدن]"
"آب دهان انداختن","[]"
"آب دیدن","[]"
"آب رفتن","[]"
"آب رودن","[]"
"آب رون","[]"
"آب روندن","[]"
"آب روین","[]"
"آب ریختن","[]"
"آب ریزن","[]"
"آب زدن","[شوياندن, شستن]"
"آب شدن","[وارفتن, گداختن]"
"آب شستن","[]"
"آب شومن","[]"
"آب ندیدن","[]"
"آب نزدن","[]"
"آب پاشن","[]"
"آب پاشیدن","[]"
"آب پز شدن","[]"
"آب کردن","[گداختن, گدازيدن]"
"آب کشیدن","[]"
"آب کن","[]"
"آب کندن","[]"
"آب گرفتن","[]"
"آباد ساختن","[]"
"آباد شدن","[]"
"آباد کردن","[]"
"آباد کندن","[]"
"آبادان شدن","[]"
"آبستن باشدن","[]"
"آبستن بودن","[]"
"آبستن شدن","[]"
"آبغوره گرفتن","[]"
"آبکاری کردن","[]"
"آبیاری کردن","[]"
"آبیاری کندن","[]"
"آتش افروختن","[سوزاندن]"
"آتش زدن","[افروزاندن, سوزاندن, افروزيدن, افروزانيدن, گيراندن, افروختن, درگيراندن]"
"آتش زندن","[]"
"آتش کشندن","[]"
"آتش کشیدن","[سوزاندن]"
"آتش کندن","[]"
"آتش گرفتن","[برافروختن, سوختن]"
"آتش گشودن","[]"
"آتش گیرن","[]"
"آخر شدن","[]"
"آدرس دادن","[]"
"آذین بستن","[]"
"آذین بندن","[]"
"آراسته بودن","[]"
"آراسته خواهد بودن","[]"
"آراسته شدن","[]"
"آراسته نمان","[]"
"آرام خواهد گرفتن","[]"
"آرام داشتن","[]"
"آرام ساختن","[آرامانيدن, آراماندن]"
"آرام سازن","[]"
"آرام شدن","[فرونشستن]"
"آرام شستن","[]"
"آرام نمایدن","[]"
"آرام نمودن","[آرامانيدن, آراماندن]"
"آرام کردن","[آرامانيدن, آراماندن]"
"آرام کن","[]"
"آرام کندن","[]"
"آرام گرفتن","[فرونشستن]"
"آرام یافتن","[آساييدن, برآسودن, آسودن]"
"آرامش بخشدن","[]"
"آرامش بخشن","[]"
"آرامش بخشیدن","[آرامانيدن, آراماندن]"
"آرامش بخشین","[]"
"آرامش بدن","[]"
"آرامش دادن","[آرامانيدن, آراماندن]"
"آرامش داشتن","[]"
"آرامش یافتن","[]"
"آرایش دادن","[آراييدن, آمودن, ترازيدن, آراستن, آماييدن]"
"آرایش کردن","[آراييدن, آمودن, ترازيدن, آراستن, آماييدن]"
"آرایش کندن","[]"
"آرد شدن","[]"
"آرزو خواهی کردن","[]"
"آرزو دارین","[]"
"آرزو داشتن","[]"
"آرزو نخواهم کردن","[]"
"آرزو کردن","[خواستن]"
"آرزو کن","[]"
"آرزو کندن","[]"
"آرزو کنین","[]"
"آروغ بزندن","[]"
"آروغ زدن","[]"
"آزاد خواهد شدن","[]"
"آزاد خواهد کردن","[]"
"آزاد خواهم کردن","[]"
"آزاد ساختن","[]"
"آزاد شدن","[رستن, وارستن, رهيدن, رهاييدن]"
"آزاد شستن","[]"
"آزاد شومن","[]"
"آزاد کردن","[رهاندن, رهانيدن]"
"آزاد کردین","[]"
"آزاد کن","[]"
"آزاد کندن","[]"
"آزاد کنین","[]"
"آزاد گذاشتن","[]"
"آزاد گردیدن","[]"
"آزاد گشتن","[رهيدن]"
"آزاده باشیدن","[]"
"آزاده بودن","[]"
"آزادی بخشن","[]"
"آزادی دادن","[]"
"آزار دادن","[]"
"آزار دیدن","[]"
"آزار رساندن","[]"
"آزار ندیدن","[]"
"آزار کندن","[]"
"آزرده باشدن","[]"
"آزرده خاطر شدن","[رنجيدن, آزردن]"
"آزرده خاطر کردن","[]"
"آزرده ساختن","[رنجاندن, خستن, آزاردن, آزردن, آزاريدن]"
"آزرده شدن","[رنجيدن, آزردن]"
