,word
0,آب آوردن
1,آب انداختن
2,آب بدن
3,آب بدهین
4,آب بریزن
5,آب بندن
6,آب بین
7,آب بینین
8,آب خواهد شدن
9,آب خوردن
10,آب دادن
11,آب دارن
12,آب داشتن
13,آب دهان انداختن
14,آب دیدن
15,آب رفتن
16,آب رودن
17,آب رون
18,آب روندن
19,آب روین
20,آب ریختن
21,آب ریزن
22,آب زدن
23,آب شدن
24,آب شستن
25,آب شومن
26,آب ندیدن
27,آب نزدن
28,آب پاشن
29,آب پاشیدن
30,آب پز شدن
31,آب کردن
32,آب کشیدن
33,آب کن
34,آب کندن
35,آب گرفتن
36,آباد ساختن
37,آباد شدن
38,آباد کردن
39,آباد کندن
40,آبادان شدن
41,آبستن باشدن
42,آبستن بودن
43,آبستن شدن
44,آبغوره گرفتن
45,آبکاری کردن
46,آبیاری کردن
47,آبیاری کندن
48,آتش افروختن
49,آتش زدن
50,آتش زندن
51,آتش کشندن
52,آتش کشیدن
53,آتش کندن
54,آتش گرفتن
55,آتش گشودن
56,آتش گیرن
57,آخر شدن
58,آدرس دادن
59,آذین بستن
60,آذین بندن
61,آراسته بودن
62,آراسته خواهد بودن
63,آراسته شدن
64,آراسته نمان
65,آرام خواهد گرفتن
66,آرام داشتن
67,آرام ساختن
68,آرام سازن
69,آرام شدن
70,آرام شستن
71,آرام نمایدن
72,آرام نمودن
73,آرام کردن
74,آرام کن
75,آرام کندن
76,آرام گرفتن
77,آرام یافتن
78,آرامش بخشدن
79,آرامش بخشن
80,آرامش بخشیدن
81,آرامش بخشین
82,آرامش بدن
83,آرامش دادن
84,آرامش داشتن
85,آرامش یافتن
86,آرایش دادن
87,آرایش کردن
88,آرایش کندن
89,آرد شدن
90,آرزو خواهی کردن
91,آرزو دارین
92,آرزو داشتن
93,آرزو نخواهم کردن
94,آرزو کردن
95,آرزو کن
96,آرزو کندن
97,آرزو کنین
98,آروغ بزندن
99,آروغ زدن
100,آزاد خواهد شدن
101,آزاد خواهد کردن
102,آزاد خواهم کردن
103,آزاد ساختن
104,آزاد شدن
105,آزاد شستن
106,آزاد شومن
107,آزاد کردن
108,آزاد کردین
109,آزاد کن
110,آزاد کندن
111,آزاد کنین
112,آزاد گذاشتن
113,آزاد گردیدن
114,آزاد گشتن
115,آزاده باشیدن
116,آزاده بودن
117,آزادی بخشن
118,آزادی دادن
119,آزار دادن
120,آزار دیدن
121,آزار رساندن
122,آزار ندیدن
123,آزار کندن
124,آزرده باشدن
125,آزرده خاطر شدن
126,آزرده خاطر کردن
127,آزرده ساختن
128,آزرده شدن
129,آزرده کردن
130,آزرده گشتن
131,آزمایش شدن
132,آزمایش نمایدن
133,آزمایش نمودن
134,آزمایش کردن
135,آزمایش کندن
136,آزموده باشدن
137,آزموده بودن
138,آزمون کردن
139,آسان خواهد شدن
140,آسان ساختن
141,آسان شدن
142,آسان نمایدن
143,آسان نمودن
144,آسان کردن
145,آسان کن
146,آسان کندن
147,آسان گردان
148,آسان گرداندن
149,آسان گرفتن
150,آسان گیرن
151,آسایش داشتن
152,آسایش یافتن
153,آسفالت کردن
154,آسوده باشدن
155,آسوده باشندن
156,آسوده باشیدن
157,آسوده بودن
158,آسوده خاطر باشندن
159,آسوده خاطر باشین
160,آسوده شدن
161,آسوده کردن
162,آسوده گشتن
163,آسیاب کردن
164,آسیب ببیندن
165,آسیب برساندن
166,آسیب بزندن
167,آسیب خواهد دیدن
168,آسیب خواهند دیدن
169,آسیب دیدن
170,آسیب رساندن
171,آسیب رسیدن
172,آسیب زدن
173,آسیب نبیندن
174,آسیب ندیدن
175,آسیب نرساندن
176,آشتی بدن
177,آشتی دادن
178,آشتی کردن
179,آشتی کن
180,آشفته بودن
181,آشفته خاطر بودن
182,آشفته خواهد کردن
183,آشفته شدن
184,آشفته کردن
185,آشفته کندن
186,آشنا خواهد شدن
187,آشنا خواهند شدن
188,آشنا خواهید شدن
189,آشنا خواهیم شدن
190,آشنا ساختن
191,آشنا شدن
192,آشنا شدیدن
193,آشنا شستن
194,آشنا نمودن
195,آشنا کردن
196,آشنا کردین
197,آشنا کن
198,آشنا کندن
199,آشنا کنین
200,آشپزی کردن
201,آشکار باشدن
202,آشکار بودن
203,آشکار خواهد ساختن
204,آشکار خواهد شدن
205,آشکار خواهد کردن
206,آشکار داشتن
207,آشکار ساختن
208,آشکار سازن
209,آشکار شدن
210,آشکار نمایدن
211,آشکار نمودن
212,آشکار نکردن
213,آشکار کردن
214,آشکار کن
215,آشکار کندن
216,آشکار گردیدن
217,آشکار گشتن
218,آشیان کردن
219,آغاز خواهد شدن
220,آغاز خواهد کردن
221,آغاز خواهند کردن
222,آغاز خواهیم کردن
223,آغاز شدن
224,آغاز فرمودن
225,آغاز نمایدن
226,آغاز نمودن
227,آغاز نهادن
228,آغاز کردن
229,آغاز کردین
230,آغاز کن
231,آغاز کندن
232,آغاز گردیدن
233,آغاز گشتن
234,آغشته شدن
235,آغشته کردن
236,آغوش گشودن
237,آفت زدن
238,آفتاب خوردن
239,آفتاب نزدن
240,آفتاب گرفتن
241,آفتاب گیرن
242,آفتابی شدن
243,آفریده شدن
244,آفرین گفتن
245,آلرژی داشتن
246,آلوده ساختن
247,آلوده شدن
248,آلوده نکندن
249,آلوده کردن
250,آلوده کندن
251,آلوده گشتن
252,آماده باشدن
253,آماده باشمن
254,آماده باشندن
255,آماده باشیدن
256,آماده باشیمن
257,آماده بودن
258,آماده ساختن
259,آماده شدن
260,آماده شستن
261,آماده شومن
262,آماده شون
263,آماده نبودن
264,آماده کردن
265,آماده کردین
266,آماده کن
267,آماده کندن
268,آماده کنین
269,آماده گردیدن
270,آماده گشتن
271,آمادگی خواهید داشتن
272,آمادگی داشتن
273,آمار گرفتن
274,آماس کردن
275,آمد داشتن
276,آمرزش بخوان
277,آمرزش خواستن
278,آمرزش طلبیدن
279,آموزش ببیندن
280,آموزش بدن
281,آموزش خواهند دیدن
282,آموزش خواهیم دادن
283,آموزش خواهیم دیدن
284,آموزش دادن
285,آموزش دهمن
286,آموزش دیدن
287,آموزش ندیدن
288,آمیخته شدن
289,آمیخته گشتن
290,آمیزش کردن
291,آنالیز کردن
292,آنالیز کندن
293,آنتن دادن
294,آه کشیدن
295,آهسته برون
296,آهسته روین
297,آهسته کردن
298,آهنگ دارن
299,آهنگ ساختن
300,آهنگ سازن
301,آهنگ کردن
302,آواره بودن
303,آواره شدن
304,آواره کردن
305,آواره کردین
306,آواره کندن
307,آواز آمدن
308,آواز بخواندن
309,آواز خوان
310,آواز خواندن
311,آواز دادن
312,آوازه داشتن
313,آویخته بودن
314,آویخته شدن
315,آویز کردن
316,آویزان باشدن
317,آویزان بودن
318,آویزان شدن
319,آویزان کردن
320,آویزان کن
321,آپدیت کردن
322,آپلود کردن
323,آکنده شدن
324,آکنده کردن
325,آگاه باشدن
326,آگاه باشندن
327,آگاه باشیدن
328,آگاه باشیمن
329,آگاه باشین
330,آگاه بودن
331,آگاه خواهد ساختن
332,آگاه خواهد کردن
333,آگاه خواهند شدن
334,آگاه ساختن
335,آگاه سازن
336,آگاه شدن
337,آگاه شستن
338,آگاه نبودن
339,آگاه نخواهی شدن
340,آگاه نمودن
341,آگاه کردن
342,آگاه کن
343,آگاه کندن
344,آگاه گردانیدن
345,آگاهی دادن
346,آگاهی دارین
347,آگاهی داشتن
348,آگاهی دهمن
349,آگاهی ندارین
350,آگاهی یافتن
351,آگهی دادن
352,ائتلاف کردن
353,ابا داشتن
354,ابا کردن
355,ابتکار داشتن
356,ابداع نمودن
357,ابداع کردن
358,ابداع کندن
359,ابدی باشدن
360,ابدی بودن
361,ابدی خواهد بودن
362,ابدی شدن
363,ابراز داشتن
364,ابراز عقیده کردن
365,ابراز کردن
366,ابراز کندن
367,ابطال شدن
368,ابطال کردن
369,ابطال کندن
370,ابقا کندن
371,ابلاغ خواهد شدن
372,ابلاغ شدن
373,ابلاغ نمایدن
374,ابلاغ نمودن
375,ابلاغ کردن
376,ابلاغ کن
377,ابلاغ کندن
378,ابهام داشتن
379,اتخاذ خواهد کردن
380,اتخاذ کردن
381,اتخاذ کندن
382,اتراق کردن
383,اتصال دادن
384,اتصال داشتن
385,اتصال یافتن
386,اتفاق افتادن
387,اتفاق خواهد افتادن
388,اتفاق داشتن
389,اتفاق نخواهد افتادن
390,اتفاق کردن
391,اتمام حجت کردن
392,اتهام زدن
393,اتو کردن
394,اتو کشیدن
395,اتوماتیک کردن
396,اتکا داشتن
397,اتکا کردن
398,اتیکت زدن
399,اثاث کشیدن
400,اثبات شدن
401,اثبات نمایدن
402,اثبات نمودن
403,اثبات کردن
404,اثبات کندن
405,اثر بخشن
406,اثر بخشیدن
407,اثر بخشین
408,اثر بکندن
409,اثر خواهد گذاشتن
410,اثر دادن
411,اثر داشتن
412,اثر نکردن
413,اثر نکندن
414,اثر پذیرفتن
415,اثر کردن
416,اثر کندن
417,اثر گذاردن
418,اثر گذارن
419,اثر گذاشتن
420,اثر گرفتن
421,اثربخش بودن
422,اثربخش نخواهد بودن
423,اثرگذار باشدن
424,اثرگذار باشندن
425,اثرگذار بودن
426,اثرگذار خواهد بودن
427,اجابت شدن
428,اجابت کردن
429,اجابت کندن
430,اجاره دادن
431,اجاره شدن
432,اجاره کردن
433,اجازه بدن
434,اجازه بدهین
435,اجازه خواستن
436,اجازه دادن
437,اجازه داشتن
438,اجازه فرمودن
439,اجازه ندادن
440,اجازه ندارین
441,اجازه گرفتن
442,اجازه یافتن
443,اجبار داشتن
444,اجبار کردن
445,اجباری باشدن
446,اجباری بودن
447,اجباری شدن
448,اجباری کردن
449,اجباری کندن
450,اجتماع داشتن
451,اجتماع کردن
452,اجتماعی باشدن
453,اجتماعی باشندن
454,اجتماعی باشیدن
455,اجتماعی بودن
456,اجتماعی خواهد بودن
457,اجتماعی نبودن
458,اجتناب نمایدن
459,اجتناب نمودن
460,اجتناب ورزیدن
461,اجتناب کردن
462,اجتناب کندن
463,اجتهاد کردن
464,اجحاف کردن
465,اجر خواهد دادن
466,اجرا بشودن
467,اجرا خواهد داشتن
468,اجرا خواهد شدن
469,اجرا خواهد کردن
470,اجرا خواهم کردن
471,اجرا داشتن
472,اجرا شدن
473,اجرا نخواهد شدن
474,اجرا نشدن
475,اجرا نکندن
476,اجرا کردن
477,اجرا کردین
478,اجرا کن
479,اجرا کندن
480,اجماع داشتن
481,اجماع کردن
482,اجیر شدن
483,اجیر کردن
484,احاطه دارین
485,احاطه داشتن
486,احاطه شدن
487,احاطه نمودن
488,احاطه کردن
489,احاطه کندن
490,احتجاج کردن
491,احتراز کردن
492,احترام خواهند گذاشتن
493,احترام دیدن
494,احترام نگذاشتن
495,احترام کردن
496,احترام کندن
497,احترام گذاردن
498,احترام گذاشتن
499,احتمال دادن
500,احتمال داشتن
501,احتمال رفتن
502,احتیاج خواهید داشتن
503,احتیاج دارین
504,احتیاج داشتن
505,احتیاط کردن
506,احتیاط کن
507,احداث خواهد شدن
508,احداث شدن
509,احداث کردن
510,احداث کندن
511,احداث گردیدن
512,احراز شدن
513,احراز نشدن
514,احراز کردن
515,احراز کندن
516,احرام بستن
517,احساس خواهند کردن
518,احساس خواهید کردن
519,احساس نخواهید کردن
520,احساس نکندن
521,احساس کردن
522,احساس کردین
523,احساس کن
524,احساس کندن
525,احساس کنین
526,احسان کردن
527,احضار کردن
528,احقاق حق کردن
529,احمق باشین
530,احمق بودن
531,احوال پرسیدن
532,احوالپرسی کردن
533,احیا بشودن
534,احیا شدن
535,احیا کردن
536,احیا کندن
537,احیا گرفتن
538,اختراع کردن
539,اختراع کندن
540,اختصاص بدن
541,اختصاص خواهد دادن
542,اختصاص خواهد یافتن
543,اختصاص خواهند دادن
544,اختصاص خواهیم دادن
545,اختصاص دادن
546,اختصاص داشتن
547,اختصاص یافتن
548,اختلاف افتادن
549,اختلاف افکندن
550,اختلاف انداختن
551,اختلاف داشتن
552,اختلاف کردن
553,اختیار خواهد داشتن
554,اختیار خواهند داشتن
555,اختیار خواهید داشتن
556,اختیار دادن
557,اختیار دارین
558,اختیار داشتن
559,اختیار نداشتن
560,اختیار نمودن
561,اختیار کردن
562,اختیار کن
563,اختیار کندن
564,اخذ شدن
565,اخذ نمادن
566,اخذ نمایدن
567,اخذ نمودن
568,اخذ کردن
569,اخذ کندن
570,اخراج شدن
571,اخراج کردن
572,اخراج کندن
573,اخطار دادن
574,اخطار کردن
575,اخلاص داشتن
576,اخم کردن
577,اخم کردین
578,اخم کندن
579,ادا شدن
580,ادا نکندن
581,ادا کردن
582,ادا کن
583,ادا کندن
584,اداره کردن
585,اداره کندن
586,اداره کنین
587,ادامه بدن
588,ادامه بدهین
589,ادامه خواهد دادن
590,ادامه خواهد داشتن
591,ادامه خواهد یافتن
592,ادامه خواهم دادن
593,ادامه خواهند دادن
594,ادامه خواهند یافتن
595,ادامه خواهید دادن
596,ادامه خواهیم دادن
597,ادامه دادن
598,ادامه دارن
599,ادامه داشتن
600,ادامه دن
601,ادامه دهمن
602,ادامه نخواهد دادن
603,ادامه نخواهد داشتن
604,ادامه یافتن
605,ادب خواهد شدن
606,ادب کردن
607,ادب کردین
608,ادرار کردن
609,ادراک شدن
610,ادراک کردن
611,ادراک کندن
612,ادراک‌شدن
613,ادعا داشتن
614,ادعا کردن
615,ادعا کندن
616,ادعا کنین
617,ادغام شدن
618,ادغام کردن
619,ادغام یافتن
620,اذعان داشتن
621,اذعان کردن
622,اذعان کندن
623,اذن دادن
624,اذن دن
625,اذیت شدن
626,اذیت شدیدن
627,اذیت نکندن
628,اذیت کردن
629,اذیت کندن
630,ارائه بدن
631,ارائه خواهد دادن
632,ارائه خواهد شدن
633,ارائه خواهد کردن
634,ارائه خواهم کردن
635,ارائه خواهند کردن
636,ارائه خواهیم کردن
637,ارائه دادن
638,ارائه دهمن
639,ارائه شدن
640,ارائه فرمودن
641,ارائه نخواهد شدن
642,ارائه نشدن
643,ارائه نمان
644,ارائه نمایدن
645,ارائه نمودن
646,ارائه نکندن
647,ارائه کردن
648,ارائه کندن
649,ارادت داشتن
650,اراده داشتن
651,اراده کردن
652,اراده کندن
653,اراده کنین
654,ارایه دادن
655,ارایه کردن
656,ارایه کندن
657,ارتباط دادن
658,ارتباط داشتن
659,ارتباط گرفتن
660,ارتباط یافتن
661,ارتزاق کردن
662,ارتفاع داشتن
663,ارتفاع گرفتن
664,ارتقا یافتن
665,ارتقائ دادن
666,ارث بردن
667,ارث برن
668,ارث برین
669,ارث خواهد بردن
670,ارث خواهند بردن
671,ارث نبردن
672,ارج نهادن
673,ارج نهندن
674,ارج نهین
675,ارج گذاشتن
676,ارجاع خواهد شدن
677,ارجاع دادن
678,ارجاع شدن
679,ارجاع کندن
680,ارجح دانستن
681,ارجحیت داشتن
682,اردو زدن
683,ارزان شدن
684,ارزانی دارن
685,ارزانی داشتن
686,ارزانی کردن
687,ارزانی کندن
688,ارزش خواهد داشتن
689,ارزش دادن
690,ارزش داشتن
691,ارزش ن
692,ارزش نهادن
693,ارزش گذاشتن
694,ارزش یافتن
695,ارزشیابی کردن
696,ارزیابی شدن
697,ارزیابی کردن
698,ارزیابی کندن
699,ارسال خواهد شدن
700,ارسال خواهد کردن
701,ارسال خواهند شدن
702,ارسال خواهیم کردن
703,ارسال داشتن
704,ارسال شدن
705,ارسال نمایدن
706,ارسال نمودن
707,ارسال کردن
708,ارسال کن
709,ارسال کندن
710,ارسال گردیدن
711,ارسال گشتن
712,ارشاد شستن
713,ارشاد کردن
714,ارضا شدن
715,ارضا کردن
716,ارضا کندن
