,word
0,آب آوردن
1,آب انداختن
2,آب بستن
3,آب بندن
4,آب خوردن
5,آب دادن
6,آب داشتن
7,آب دن
8,آب دهان انداختن
9,آب دیدن
10,آب رفتن
11,آب رودن
12,آب ریختن
13,آب زدن
14,آب شدن
15,آب شستن
16,آب پاشیدن
17,آب پز کنیدن
18,آب کردن
19,آب کشیدن
20,آب گرفتن
21,آباد ساختن
22,آباد شدن
23,آباد کردن
24,آبادان شدن
25,آبادان کردن
26,آبرو داشتن
27,آبرومند بودن
28,آبیاری کردن
29,آتش روشن کردن
30,آتش زدن
31,آتش کردن
32,آتش کشیدن
33,آتش گرفتن
34,آتش گشودن
35,آذین بستن
36,آراسته بودن
37,آراسته شدن
38,آرام داشتن
39,آرام شدن
40,آرام نمودن
41,آرام کردن
42,آرام گرفتن
43,آرامش بخشدن
44,آرامش بخشیدن
45,آرامش دادن
46,آرامش داشتن
47,آرامش یافتن
48,آرد کردن
49,آرزو داشتن
50,آرزو نکندن
51,آرزو کردن
52,آرزومند بودن
53,آزاد ساختن
54,آزاد شدن
55,آزاد کردن
56,آزاد کندن
57,آزاد گذاشتن
58,آزاد گشتن
59,آزادی بخشن
60,آزادی دادن
61,آزار دادن
62,آزار دیدن
63,آزار رساندن
64,آزرده خاطر کردن
65,آزرده شدن
66,آزرده کردن
67,آزمایش شدن
68,آزمایش نمودن
69,آزمایش کردن
70,آزمایش کن
71,آزموده بودن
72,آزموده شدن
73,آزمون کندن
74,آسان ساختن
75,آسان نمودن
76,آسان کردن
77,آسان کندن
78,آسان گردان
79,آسایش دادن
80,آسایش یافتن
81,آستین بالا زدن
82,آسفالت کردن
83,آسوده خاطر بودن
84,آسوده کردن
85,آسوده گذاشتن
86,آسوده گشتن
87,آسیب ببیندن
88,آسیب برساندن
89,آسیب بیندن
90,آسیب دیدن
91,آسیب رساندن
92,آسیب رسیدن
93,آسیب زدن
94,آسیب نبیندن
95,آسیب ندیدن
96,آسیب وارد می‌کندن
97,آشتی دادن
98,آشتی کردن
99,آشتی کندن
100,آشفته ساختن
101,آشفته شدن
102,آشفته کردن
103,آشنا ساختن
104,آشنا شدن
105,آشنا شستن
106,آشنا کردن
107,آشنا کندن
108,آشنایی پیدا می‌کردندن
109,آشنایی پیدا می‌کنندن
110,آشنایی پیدا کردن
111,آشنایی پیدا کنندن
112,آشنایی یافتن
113,آشپزی کردن
114,آشکار باشدن
115,آشکار بودن
116,آشکار داشتن
117,آشکار ساختن
118,آشکار شدن
119,آشکار نبودن
120,آشکار نمودن
121,آشکار نکندن
122,آشکار کردن
123,آشکار کندن
124,آشکار گشتن
125,آشیان کردن
126,آشیانه کردن
127,آغاز شدن
128,آغاز نمودن
129,آغاز نهادن
130,آغاز کردن
131,آغاز کندن
132,آغاز گردیدن
133,آغاز گشتن
134,آغشته کردن
135,آغوش گشودن
136,آفتابی شدن
137,آفریده شدن
138,آفرین کردن
139,آلوده ساختن
140,آلوده شدن
141,آلوده کردن
142,آلوده کندن
143,آماده بودن
144,آماده ساختن
145,آماده شدن
146,آماده شستن
147,آماده نبودن
148,آماده کردن
149,آماده کندن
150,آماده گشتن
151,آمادگی داشتن
152,آموزش دادن
153,آموزش دن
154,آموزش دیدن
155,آموزش یافتن
156,آمپول زدن
157,آمیخته شدن
158,آه کشیدن
159,آهسته شدن
160,آهنگ ساختن
161,آواره شدن
162,آواره کردن
163,آواره‌شده‌اندن
164,آواز بخواندن
165,آواز خواندن
166,آواز دادن
167,آویخته شدن
168,آویزان بودن
169,آویزان شدن
170,آویزان کردن
171,آکنده ساختن
172,آگاه باشدن
173,آگاه بودن
174,آگاه ساختن
175,آگاه شدن
176,آگاه شستن
177,آگاه نمودن
178,آگاه کردن
179,آگاه کندن
180,آگاه گرداندن
181,آگاه گردانیدن
182,آگاهی دادن
183,آگاهی داشتن
184,آگاهی پیدا می‌کردندن
185,آگاهی یافتن
186,آگراندیسمان کردن
187,ابا داشتن
188,ابتر کردن
189,ابداع نمودن
190,ابداع کردن
191,ابداع کندن
192,ابدی باشدن
193,ابراز احساسات کردندن
194,ابراز داشتن
195,ابراز شگفتی کردن
196,ابراز عقیده کردن
197,ابراز عقیده کندن
198,ابراز نکندن
199,ابراز کردن
200,ابراز کندن
201,ابرام داشتن
202,ابطال شدن
203,ابلاغ شدن
204,ابلاغ کردن
205,ابلاغ کندن
206,ابهام داشتن
207,اتخاذ کردن
208,اتخاذ کندن
209,اتراق کردن
210,اتصال دادن
211,اتصال پیدا می‌کردن
212,اتصال یافتن
213,اتفاق افتادن
214,اتفاق نظر دارندن
215,اتفاق نظر داشتن
216,اتفاق نظر داشتندن
217,اتفاق نظر داشتیمن
218,اتفاق نظر ندارندن
219,اتفاق کردن
220,اتمام حجت کردن
221,اتمام یافتن
222,اتهام بستن
223,اتوکشی کردن
224,اثبات شدن
225,اثبات نمودن
226,اثبات کردن
227,اثبات کندن
228,اثر دادن
229,اثر داشتن
230,اثر نمودن
231,اثر کردن
232,اثر کندن
233,اثر گذاشتن
234,اثر گرفتن
235,اثربخش بودن
236,اثرگذار باشدن
237,اجابت کندن
238,اجاره دادن
239,اجاره کردن
240,اجازه بدن
241,اجازه خواستن
242,اجازه دادن
243,اجازه داشتن
244,اجازه فرمودن
245,اجازه گرفتن
246,اجازه یافتن
247,اجبار داشتن
248,اجبار کردن
249,اجباری بودن
250,اجتماع کردن
251,اجتماعی باشدن
252,اجتماعی بودن
253,اجتناب نمودن
254,اجتناب ورزیدن
255,اجتناب کردن
256,اجتناب کندن
257,اجرا داشتن
258,اجرا شدن
259,اجرا نشدن
260,اجرا کردن
261,اجرا کندن
262,اجرا‌نشده‌اندن
263,اجرا‌نشده‌باشدن
264,اجرا‌نشده‌بودن
265,اجماع کردن
266,احاطه داشتن
267,احاطه شدن
268,احاطه نمودن
269,احاطه کردن
270,احاله دادن
271,احتراز جستن
272,احتراز کردن
273,احترام کردن
274,احترام گذاردن
275,احترام گذاشتن
276,احتمال دادن
277,احتمال داشتن
278,احتمال رفتن
279,احتیاج داشتن
280,احتیاط کردن
281,احداث شدن
282,احداث کردن
283,احداث کندن
284,احداث گردیدن
285,احراز شدن
286,احراز کردن
287,احساس بکندن
288,احساس ناتوانی می‌کنندن
289,احساس نکندن
290,احساس کردن
291,احساس کندن
292,احضار کردن
293,احضار کندن
294,احیا شدن
295,احیا کردن
296,احیا کندن
297,اخاذی کردن
298,اختراع کردن
299,اختراع کندن
300,اختصاص دادن
301,اختصاص داشتن
302,اختصاص پیدا کندن
303,اختصاص یافتن
304,اختلاس کردن
305,اختلاف افتادن
306,اختلاف انداختن
307,اختلاف داشتن
308,اختلال ایجاد می‌کردن
309,اختلال ایجاد می‌کندن
310,اختلال ایجاد کردن
311,اختلال ایجاد کندن
312,اختیار دادن
313,اختیار داشتن
314,اختیار فرمودن
315,اختیار کردن
316,اختیار کندن
317,اخت‌نشده‌اندن
318,اخذ شدن
319,اخذ نمودن
320,اخذ کردن
321,اخراج شدن
322,اخراج کردن
323,اخراج کندن
324,اخطار دادن
325,اخطار کردن
326,اخطار کندن
327,اخم کردن
328,ادا شدن
329,ادا کردن
330,ادا کندن
331,اداره بکندن
332,اداره کردن
333,اداره کندن
334,ادامه دادن
335,ادامه داشتن
336,ادامه پیدا بکندن
337,ادامه پیدا می‌کردن
338,ادامه پیدا می‌کندن
339,ادامه پیدا می‌کنندن
340,ادامه پیدا نکردن
341,ادامه پیدا کردن
342,ادامه پیدا کندن
343,ادامه یافتن
344,ادب کردن
345,ادب کن
346,ادراک شدن
347,ادراک کردن
348,ادعا داشتن
349,ادعا نکندن
350,ادعا کردن
351,ادعا کندن
352,ادغام شدن
353,ادغام کردن
354,ادغام کندن
355,اذعان داشتن
356,اذعان کردن
357,اذیت شدن
358,اذیت کردن
359,اذیت کندن
360,ارادت داشتن
361,اراده داشتن
362,اراده کردن
363,اراده کندن
364,ارایه دادن
365,ارایه کردن
366,ارایه کندن
367,ارتباط برقرار بکندن
368,ارتباط برقرار می‌کردندن
369,ارتباط برقرار می‌کندن
370,ارتباط برقرار می‌کنندن
371,ارتباط برقرار می‌کنیمن
372,ارتباط برقرار نمی‌کندن
373,ارتباط برقرار نمی‌کنندن
374,ارتباط برقرار نکردن
375,ارتباط برقرار نکندن
376,ارتباط برقرار کردن
377,ارتباط برقرار کردندن
378,ارتباط برقرار کندن
379,ارتباط برقرار کنندن
380,ارتباط برقرار کنیدن
381,ارتباط دادن
382,ارتباط داشتن
383,ارتباط یافتن
384,ارتفاع داشتن
385,ارتفاع گرفتن
386,ارتقا پیدا کردن
387,ارتقا پیدا کندن
388,ارتقا یافتن
389,ارث بردن
390,ارج داشتن
391,ارج نهادن
392,ارج گذاردن
393,ارج گذاشتن
394,ارجاع دادن
395,ارجاع شدن
396,ارجاع کندن
397,ارجح باشدن
398,ارجح بودن
399,ارجح دانستن
400,ارجحیت داشتن
401,اردو زدن
402,ارزانی داشتن
403,ارزانی فرمودن
404,ارزش دادن
405,ارزش داشتن
406,ارزش ن
407,ارزش نهادن
408,ارزش نهدن
409,ارزش یافتن
410,ارزشیابی کردن
411,ارزیابی شدن
412,ارزیابی کردن
413,ارزیابی کندن
414,ارسال داشتن
415,ارسال شدن
416,ارسال نشدن
417,ارسال نمودن
418,ارسال کردن
419,ارسال کن
420,ارسال کندن
421,ارسال گشتن
422,ارسال‌نشده‌اندن
423,ارشاد کردن
424,ارشاد‌شده‌ایدن
425,ارفاق کردن
426,ارمغان دادن
427,از دست رفتن
428,ازدحام کردن
429,ازدواج کردن
430,ازدواج کندن
431,استاندارد کردن
432,استتار کردن
433,استثمار کردن
434,استحاله شدن
435,استحصال شدن
436,استحصال کردن
437,استحکام بخشدن
438,استحکام بخشیدن
439,استحکام داشتن
440,استحکام یافتن
441,استخدام شدن
442,استخدام نشدن
443,استخدام کردن
444,استخدام کندن
445,استخراج کردن
446,استخراج کندن
447,استدعا داشتن
448,استدلال کردن
449,استراحت کردن
450,استراحت کندن
451,استشمام کردن
452,استشمام کندن
453,استعانت جستن
454,استعفا دادن
455,استعفا کردن
456,استعفا کندن
457,استعلام کردن
458,استعمال کردن
459,استغاثه کندن
460,استغفار کردن
461,استفاده شدن
462,استفاده نمودن
463,استفاده نکردن
464,استفاده نکندن
465,استفاده کردن
466,استفاده کن
467,استفاده کندن
468,استفراغ کردن
469,استفسار کردن
470,استقامت کردن
471,استقبال کردن
472,استقبال کندن
473,استقرار داشتن
474,استقرار پیدا کردن
475,استقرار یافتن
476,استقراض کردن
477,استقلال داشتن
478,استقلال پیدا کردن
479,استقلال یافتن
480,استماع کندن
481,استمداد طلبیدن
482,استمداد کردن
483,استمرار بخشدن
484,استمرار بخشیدن
485,استمرار داشتن
486,استمرار پیدا می‌کندن
487,استمرار یافتن
488,استناد دادن
489,استناد کردن
490,استنباط شدن
491,استنباط کردن
492,استنباط کندن
493,استنتاج کردن
494,استنساخ کردن
495,استنکاف ورزیدن
496,استوار باشدن
497,استوار بودن
498,استوار دارن
499,استوار داشتن
500,استوار ساختن
501,استوار شدن
502,استوار کردن
503,استوار کندن
504,استوار گشتن
505,استیضاح کردن
506,استیضاح کندن
507,استیلا یافتن
508,اسلام آوردن
509,اسم بردن
510,اسم دادن
511,اسهال شدن
512,اسکان دادن
513,اسکان گرفتن
514,اسکان یافتن
515,اسیر شدن
516,اسیر کردن
517,اسیر کن
518,اشارت داشتن
519,اشاره داشتن
520,اشاره شدن
521,اشاره نمودن
522,اشاره کردن
523,اشاره کندن
524,اشاعه دادن
525,اشباع شدن
526,اشباع کردن
527,اشتباه باشدن
528,اشتباه بودن
529,اشتباه بکندن
530,اشتباه داشتن
531,اشتباه نبودن
532,اشتباه کردن
533,اشتباه کندن
534,اشتباه گرفتن
535,اشتراک داشتن
536,اشتراک عقیده داشتندن
537,اشتراک نظر دارندن
538,اشتراک نظر داریمن
539,اشتغال داشتن
540,اشتغال ورزیدن
541,اشتهار داشتن
542,اشتیاق داشتن
543,اشراف داشتن
544,اشراف نداشتن
545,اشعار داشتن
546,اشغال کردن
547,اشک ریختن
548,اشکال داشتن
549,اشکال گرفتن
550,اصابت کردن
551,اصالت داشتن
552,اصرار داشتن
553,اصرار ورزیدن
554,اصرار کردن
555,اصرار کندن
556,اصلاح شدن
557,اصلاح نکندن
558,اصلاح کردن
559,اصلاح کن
560,اصلاح کندن
561,اصیل نبودن
562,اضافه شدن
563,اضافه کردن
564,اضافه کندن
565,اطاعت داشتن
566,اطاعت نکندن
567,اطاعت کردن
568,اطاعت کندن
569,اطلاع دادن
570,اطلاع داشتن
571,اطلاع پیدا کنندن
572,اطلاع یافتن
573,اطلاق شدن
574,اطمینان بخشیدن
575,اطمینان حاصل کردن
576,اطمینان حاصل کنندن
577,اطمینان دادن
578,اطمینان داشتن
579,اطمینان پیدا کندن
580,اطمینان پیدا کنیمن
581,اطمینان کردن
582,اطمینان یافتن
583,اظهار تنفر می‌کندن
584,اظهار داشتن
585,اظهار ناامیدی کردندن
586,اظهار نظر بکندن
587,اظهار نظر بکنیمن
588,اظهار نظر می‌کردندن
589,اظهار نظر می‌کندن
590,اظهار نظر نمی‌کنمن
591,اظهار نظر ننمایمن
592,اظهار نظر نکردن
593,اظهار نظر کردن
594,اظهار نظر کردندن
595,اظهار نظر کندن
596,اظهار نظر کنندن
597,اظهار نظر کنیمن
598,اظهار نمودن
599,اظهار کردن
600,اعتبار بخشدن
601,اعتبار بخشیدن
602,اعتبار داشتن
603,اعتبار یافتن
604,اعتدال داشتن
605,اعتراض داشتن
606,اعتراض کردن
607,اعتراف داشتن
608,اعتراف کردن
609,اعتراف کندن
610,اعتصاب کردن
611,اعتقاد داشتن
612,اعتقاد پیدا کردن
613,اعتقاد پیدا کنندن
614,اعتماد داشتن
615,اعتماد کردن
616,اعتنا نکردن
617,اعتنا کردن
618,اعدام کردن
619,اعراض کردن
620,اعزام داشتن
621,اعزام شدن
622,اعزام نشدن
623,اعزام کردن
624,اعزام کندن
625,اعطا کردن
626,اعطا کندن
627,اعلام خطر می‌کنمن
628,اعلام داشتن
629,اعلام نمودن
630,اعلام کردن
631,اعلام کندن
632,اعلان کردن
633,اعمال شدن
634,اعمال نفوذ می‌کندن
635,اعمال کردن
636,اعمال کندن
637,اغراق کردن
638,اغفال کردن
639,اغفال‌شده‌اندن
640,اغماض کردن
641,اغوا کردن
642,افاده کردن
643,افاضه فرمودن
644,افاضه کردن
645,افاقه کندن
646,افت کردن
647,افتاده باشدن
648,افتاده بودن
649,افتتاح نمودن
650,افتتاح کردن
651,افتتاح کندن
652,افتخار آفریدن
653,افتخار کردن
654,افتخارآفرینی کردن
655,افترا بستن
656,افترا زدن
657,افراط کردن
658,افروخته شدن
659,افزایش دادن
660,افزایش داشتن
661,افزایش پیدا می‌کندن
662,افزایش پیدا کندن
663,افزایش پیدا کنندن
664,افزایش یافتن
665,افزوده شدن
666,افزون شدن
667,افزون کردن
668,افزون گشتن
669,افسرده بودن
670,افسرده شستن
671,افسوس خوردن
672,افشا کردن
673,افشاگری کندن
674,افضل باشدن
675,افطار کردن
676,افول کندن
677,اقامت داشتن
678,اقامت کردن
679,اقامت گزیدن
680,اقامه کردن
681,اقبال کردن
682,اقتباس کردن
683,اقتدا کردن
684,اقتضا داشتن
685,اقتضا کردن
686,اقدام داشتن
687,اقدام شدن
688,اقدام نمودن
689,اقدام نکندن
690,اقدام ورزیدن
691,اقدام کردن
692,اقدام کندن
693,اقرار داشتن
694,اقرار کردن
695,اقرار کندن
696,اقسام داشتن
697,اقناع کردن
